id;pseudo;email;numero_telephone
1;Burundi Frozen Concrete;"n/@/mix";innovative
2;Account monetize viral;"rak/@/abxnd";Fantastic SSL dynamic
3;withdrawal Borders cyan;"m/@/";Shilling calculating
4;copying;"uqayh/@/klo";withdrawal
5;Garden;"asv/@/las";out-of-the-box Shoes Suisse
6;Sharable PCI;"zyyos/@/";Incredible
7;quantifying Languedoc-Roussillon;"hcy/@/rzh";definition scalable collaborative
8;Shoes grey;"j/@/pzqvt";Credit
9;Tasty tertiary Games;"/@/kgahl";Open-source
10;GBX;"bon/@/wqk";SQL Bourgogne
